ID;MARCA;MODELO
2252;WILLYS OVERLAND;RURAL
2253;DODGE;D100
2259;MERCEDES-BENZ;170
2261;DODGE;CUSTOM ROYAL
2262;CHEVROLET;CLUB COUPE
2263;DODGE;MAGNUM
2264;CHEVROLET;GMC 100
2265;PONTIAC;SOLSTICE
2266;WILLYS OVERLAND;ITAMARATY
2267;JAGUAR;MARK V
2268;PUMA;GT
2269;STUDEBAKER;CHAMPION
2270;FIAT;BALILLA
2271;WILLYS OVERLAND;INTERLAGOS
2272;GURGEL;X15
2273;FORD;F-85
2274;PORSCHE;SPEEDSTER 356
2275;JINBEI;TOPIC FURGAO
2276;JINBEI;TOPIC ESCOLAR
2279;MERCEDES-BENZ;300D
2280;MERCEDES-BENZ;CLASSE TE
2283;TOYOTA;T-100
2294;RENAULT;MEGANE SEDAN
2295;AUDI;A4 CABRIOLET
2298;INFINITI;LINHA G
2299;INFINITI;LINHA G COUPE
2300;INFINITI;LINHA G CONVERSIVEL
2301;INFINITI;LINHA M
2302;INFINITI;LINHA EX
2303;INFINITI;LINHA JX
2304;INFINITI;LINHA QX
2305;JAGUAR;MODELOS XF
2306;JAGUAR;F-TYPE
2307;JAGUAR;MARK VII
2308;JAGUAR;MARK VIII
2309;JAGUAR;MARK IX
2310;JAGUAR;MARK X
2311;JAGUAR;E-TYPE
2312;JAGUAR;C-TYPE
2313;JAGUAR;D-TYPE
2314;JAGUAR;MARK I
2315;JAGUAR;MARK II
2346;PUMA;GT4R
2347;PUMA;SPYDER
2348;PUMA;GTI
2349;PUMA;AM1
2350;PUMA;AM2
2351;PUMA;AM3
2352;PUMA;AM4
2353;PUMA;AMV
2377;HONDA;ACTY
2378;HONDA;AIRWAVE
2379;HONDA;ASCOT
2380;HONDA;BALLADE
2381;HONDA;BEAT
2382;HONDA;CR-X
2383;HONDA;CONCERTO
2384;HONDA;CR-Z
2385;HONDA;DOMANI
2386;HONDA;EDIX
2387;HONDA;ELEMENT
2388;HONDA;EV PLUS
2389;HONDA;FCX
2390;HONDA;FR-V
2392;HONDA;HR-V
2393;HONDA;HSC
2394;HONDA;INSIGHT
2396;ACURA;TL
2397;HONDA;LIFE DUNK
2398;HONDA;LOGO
2399;HONDA;MOBILIO
2400;ACURA;MDX
2401;HONDA;ORTHIA
2402;HONDA;PARTNER VAN
2403;HONDA;PILOT
2404;HONDA;RIDGELINE
2405;HONDA;S2000
2406;HONDA;S600
2407;HONDA;S500
2408;HONDA;S800
2409;HONDA;STEPWGN
2410;HONDA;STREAM
2411;HONDA;THATS
2412;HONDA;VAMOZ
2413;HONDA;Z
2414;HONDA;ZEST
2441;SUZUKI;AERIO
2442;SUZUKI;ALTO
2443;SUZUKI;APV
2444;SUZUKI;KEI
2445;SUZUKI;LAPIN
2446;SUZUKI;MR WAGON
2447;SUZUKI;XL-7
2448;SUZUKI;VERONA
2477;WILLYS OVERLAND;JEEP CJ
2479;PEUGEOT;306 CABRIOLET
2484;DKW-VEMAG;BELCAR
2485;KAISER;M715
2492;PEUGEOT;407 SW
2493;PEUGEOT;307 CC
2499;CHEVROLET;STYLELINE
2500;FORD;ANGLIA
2508;ADAMO;GT2
2509;CHEVROLET;YUKON
2510;DE SOTO;SPORTSMAN
2514;RENAULT;21 NEVADA
2515;BUGATTI;VEYRON
2516;FERRARI;ENZO
2517;PEUGEOT;306 SW
2528;ALFA ROMEO;TI 80
2532;PORSCHE;SPYDER 550
2533;FERRARI;380 GTB
2534;TROLLER;T-5
2536;DODGE;KINGSWAY
2537;CHEVROLET;SSR
2540;CHEVROLET;IMPALA
2541;PEUGEOT;208
2542;CHEVROLET;GRAND BLAZER
2555;VOLVO;100 SERIES
2558;VOLVO;200 SERIES
2559;VOLVO;300 SERIES
2561;VOLVO;66
2562;VOLVO;700 SERIES
2563;VOLVO;AMAZON
2564;VOLVO;C303
2566;VOLVO;DUETT
2567;VOLVO;L3314
2568;VOLVO;OV 4
2569;VOLVO;P1800
2570;VOLVO;SUGGA
2571;FORD;TT
2572;CITROEN;ONCE
2573;FORD;DE LUXE
2574;FORD;CUSTOM
2575;FORD;T-BUCKET
2576;GURGEL;G15
2588;MITSUBISHI;PAJERO FULL 3D
2589;MITSUBISHI;PAJERO SPORT
2590;BMW;120 CABRIO
2591;BMW;320 TOURING
2592;BMW;330 CABRIO
2593;BMW;SERIE 5 TOURING
2594;BMW;SERIE 6 CABRIO
2595;BMW;SERIE M CONVERSIVEL
2596;BMW;M5 TOURING
2597;BMW;SERIE Z ROADSTER
2599;FORD;KA SPORT
2600;VOLKSWAGEN;CC
2605;KIA;CERATO KOUP
2607;CHEVROLET;ASTRO
2608;TOYOTA;COROLLA XRS
2609;TOYOTA;ETIOS SEDAN
2611;FORD;FREESTYLE
2612;MERCURY;COUGAR
2615;MAHINDRA;XUV 500
2618;MAHINDRA;XYLO
2619;MAHINDRA;BOLERO
2620;MAHINDRA;THAR
2621;MAHINDRA;AXE
